,SGroup,Signal,coverage_naive,coverage_split,coverage_posi,length_naive,length_split,length_posi
169,3,0.6111111111111112,0.75,,1.0,3.77355903865241,,4.60650045641549
170,3,0.6111111111111112,,,,,,
171,3,0.6111111111111112,0.75,,,3.7099134862788326,,
172,3,0.6111111111111112,1.0,,1.0,3.7637333419242807,,3.9818545496159263
173,3,0.6111111111111112,0.75,,0.75,3.754190872323064,,4.1104576436563836
174,3,0.6111111111111112,,,,,,
175,3,0.6111111111111112,1.0,,1.0,3.7479014626481613,,4.187667545638617
176,3,0.6111111111111112,1.0,1.0,1.0,3.8908884555405936,5.52563260319152,3.9319780999880103
177,3,0.6111111111111112,1.0,,1.0,3.5910865067308384,,3.956128967872938
178,3,0.6111111111111112,,,,,,
179,3,0.6111111111111112,1.0,1.0,1.0,3.67037932692941,5.590999281905236,3.829246022369764
180,3,0.6111111111111112,,,,,,
181,3,0.6111111111111112,1.0,0.875,1.0,3.6220952972267018,5.379877397163246,3.8744289712610476
182,3,0.6111111111111112,1.0,,1.0,3.660159045604416,,3.8856396327410883
183,3,0.6111111111111112,0.5,,0.75,3.7226567993299042,,4.21473820126438
184,3,0.6111111111111112,1.0,,1.0,3.6833528047958253,,4.159330848978257
185,3,0.6111111111111112,,,1.0,,,3.9273851652668794
186,3,0.6111111111111112,,,,,,
187,3,0.6111111111111112,,,1.0,,,4.439659743111655
188,3,0.6111111111111112,0.75,,0.75,3.6185133281648243,,3.8495548212100035
189,3,0.6111111111111112,0.75,1.0,0.75,3.837187114034876,5.339937595971513,3.9499063295698615
190,3,0.6111111111111112,1.0,,1.0,3.9603863593087283,,4.398138562204349
191,3,0.6111111111111112,,,,,,
192,3,0.6111111111111112,0.875,0.875,1.0,3.6538086643510983,5.176552081541153,3.875409931232224
193,3,0.6111111111111112,1.0,0.875,1.0,3.4866026798109124,5.1248734124359805,3.599553909200345
194,3,0.6111111111111112,,1.0,,,5.562216659365532,
195,3,0.6111111111111112,0.75,1.0,1.0,3.4943467138790325,4.902531995335053,3.6106122006511034
196,3,0.6111111111111112,1.0,1.0,,3.7452684865533468,5.080060883274203,
